Timestamp,Event Type,Duration,Details
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:48,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:49,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:50,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
